Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,12,9,Some Random Commen with Id 0
1,0,5,180,8,Some Random Commen with Id 1
2,0,5,29,4,Some Random Commen with Id 2
3,0,5,131,1,Some Random Commen with Id 3
4,0,5,181,2,Some Random Commen with Id 4
5,0,5,16,8,Some Random Commen with Id 5
6,0,5,121,0,Some Random Commen with Id 6
7,0,5,188,0,Some Random Commen with Id 7
8,1,8,144,5,Some Random Commen with Id 8
9,1,8,55,4,Some Random Commen with Id 9
10,1,8,98,3,Some Random Commen with Id 10
11,1,8,5,1,Some Random Commen with Id 11
12,2,1,29,0,Some Random Commen with Id 12
13,2,1,138,4,Some Random Commen with Id 13
14,2,1,169,7,Some Random Commen with Id 14
15,2,1,195,1,Some Random Commen with Id 15
16,2,1,75,2,Some Random Commen with Id 16
17,2,1,75,3,Some Random Commen with Id 17
18,2,1,174,8,Some Random Commen with Id 18
19,2,1,163,0,Some Random Commen with Id 19
20,3,2,164,5,Some Random Commen with Id 20
21,3,2,122,8,Some Random Commen with Id 21
22,3,2,113,0,Some Random Commen with Id 22
23,3,2,24,8,Some Random Commen with Id 23
24,3,2,176,1,Some Random Commen with Id 24
25,3,2,185,3,Some Random Commen with Id 25
26,3,2,0,1,Some Random Commen with Id 26
27,4,4,45,0,Some Random Commen with Id 27
28,4,4,41,9,Some Random Commen with Id 28
29,4,4,54,1,Some Random Commen with Id 29
30,4,4,185,1,Some Random Commen with Id 30
31,4,4,136,3,Some Random Commen with Id 31
32,4,4,45,9,Some Random Commen with Id 32
33,4,4,11,6,Some Random Commen with Id 33
34,5,3,82,3,Some Random Commen with Id 34
35,5,3,118,0,Some Random Commen with Id 35
36,5,3,112,8,Some Random Commen with Id 36
37,5,3,172,7,Some Random Commen with Id 37
38,6,0,163,5,Some Random Commen with Id 38
39,6,0,25,1,Some Random Commen with Id 39
40,6,0,179,5,Some Random Commen with Id 40
41,7,0,194,6,Some Random Commen with Id 41
42,7,0,19,9,Some Random Commen with Id 42
43,7,0,83,1,Some Random Commen with Id 43
44,7,0,102,0,Some Random Commen with Id 44
45,7,0,20,0,Some Random Commen with Id 45
46,8,3,13,8,Some Random Commen with Id 46
47,8,3,90,5,Some Random Commen with Id 47
48,8,3,20,6,Some Random Commen with Id 48
49,8,3,75,7,Some Random Commen with Id 49
50,8,3,14,0,Some Random Commen with Id 50
51,8,3,142,1,Some Random Commen with Id 51
52,8,3,40,4,Some Random Commen with Id 52
53,8,3,134,2,Some Random Commen with Id 53
54,8,3,171,6,Some Random Commen with Id 54
55,9,1,102,2,Some Random Commen with Id 55
56,9,1,164,1,Some Random Commen with Id 56
57,9,1,198,3,Some Random Commen with Id 57
58,10,9,136,0,Some Random Commen with Id 58
59,10,9,182,2,Some Random Commen with Id 59
60,10,9,110,2,Some Random Commen with Id 60
61,10,9,18,7,Some Random Commen with Id 61
62,10,9,56,4,Some Random Commen with Id 62
63,11,0,178,5,Some Random Commen with Id 63
64,11,0,143,6,Some Random Commen with Id 64
65,11,0,156,3,Some Random Commen with Id 65
66,11,0,66,3,Some Random Commen with Id 66
67,11,0,127,4,Some Random Commen with Id 67
68,11,0,183,3,Some Random Commen with Id 68
69,11,0,146,3,Some Random Commen with Id 69
70,11,0,87,2,Some Random Commen with Id 70
71,11,0,100,0,Some Random Commen with Id 71
72,12,4,53,9,Some Random Commen with Id 72
73,12,4,96,6,Some Random Commen with Id 73
74,12,4,173,2,Some Random Commen with Id 74
75,12,4,67,0,Some Random Commen with Id 75
76,12,4,94,3,Some Random Commen with Id 76
77,12,4,193,8,Some Random Commen with Id 77
78,13,3,171,9,Some Random Commen with Id 78
79,13,3,106,0,Some Random Commen with Id 79
80,13,3,155,1,Some Random Commen with Id 80
